Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.37,-.52,-.24,-.30,-.07,-.17,-.20,-.27,-.24,-.32,-.43,-.41,-.30,***,***,-.20,-.21,-.33
1881,-.31,-.23,-.04,.00,.03,-.34,.07,-.05,-.27,-.44,-.37,-.24,-.18,-.20,-.32,-.01,-.11,-.36
1882,.25,.21,.02,-.30,-.23,-.29,-.28,-.17,-.26,-.52,-.34,-.69,-.22,-.18,.07,-.17,-.24,-.37
1883,-.58,-.65,-.15,-.29,-.24,-.11,-.06,-.23,-.34,-.15,-.44,-.15,-.28,-.33,-.64,-.23,-.13,-.31
1884,-.16,-.10,-.63,-.58,-.35,-.41,-.40,-.51,-.45,-.44,-.58,-.47,-.42,-.40,-.14,-.52,-.44,-.49
1885,-1.00,-.46,-.24,-.49,-.59,-.45,-.34,-.42,-.40,-.37,-.38,-.12,-.44,-.47,-.64,-.44,-.41,-.38
1886,-.75,-.84,-.72,-.37,-.34,-.38,-.15,-.43,-.33,-.32,-.41,-.21,-.44,-.43,-.57,-.48,-.32,-.35
1887,-1.08,-.70,-.44,-.38,-.26,-.22,-.24,-.55,-.21,-.49,-.26,-.43,-.44,-.42,-.67,-.36,-.34,-.32
1888,-.48,-.62,-.64,-.23,-.16,-.03,-.01,-.22,-.20,-.04,-.01,-.24,-.24,-.26,-.51,-.34,-.09,-.08
1889,-.28,.28,-.02,.15,-.04,-.07,-.09,-.21,-.30,-.41,-.62,-.54,-.18,-.16,-.08,.03,-.13,-.44
1890,-.64,-.58,-.48,-.25,-.36,-.17,-.24,-.40,-.36,-.11,-.65,-.48,-.39,-.40,-.59,-.36,-.27,-.37
1891,-.46,-.67,-.16,-.35,-.16,-.13,-.12,-.13,-.08,-.28,-.53,-.02,-.26,-.30,-.54,-.22,-.13,-.29
1892,-.50,-.18,-.66,-.45,-.23,-.05,-.38,-.33,-.21,-.27,-.82,-.67,-.40,-.34,-.24,-.45,-.25,-.43
1893,-1.50,-.96,-.32,-.30,-.43,-.18,-.14,-.34,-.28,-.27,-.33,-.60,-.47,-.48,-1.05,-.35,-.22,-.29
1894,-.92,-.42,-.21,-.54,-.26,-.41,-.21,-.27,-.32,-.27,-.48,-.35,-.39,-.41,-.65,-.34,-.30,-.36
1895,-.70,-.80,-.50,-.18,-.30,-.21,-.19,-.28,-.06,-.09,-.13,-.23,-.31,-.31,-.62,-.33,-.22,-.09
1896,-.37,-.18,-.49,-.60,-.17,.07,-.01,-.11,-.13,.04,-.20,-.22,-.20,-.20,-.26,-.42,-.02,-.10
1897,-.40,-.41,-.40,-.05,.13,-.07,.04,-.07,-.07,-.15,-.26,-.28,-.17,-.16,-.34,-.11,-.04,-.16
1898,.04,-.45,-.80,-.28,-.28,-.09,-.12,-.18,-.18,-.37,-.51,-.27,-.29,-.29,-.23,-.45,-.13,-.35
1899,-.13,-.63,-.57,-.22,-.24,-.35,-.17,-.07,-.05,.05,.35,-.47,-.21,-.19,-.34,-.34,-.19,.12
1900,-.62,-.14,.05,-.10,-.04,-.11,-.12,-.09,-.03,.23,-.12,-.03,-.09,-.13,-.41,-.03,-.11,.03
1901,-.33,-.09,.28,.11,-.11,.01,.02,-.16,-.27,-.31,-.19,-.40,-.12,-.09,-.15,.09,-.04,-.26
1902,-.14,-.03,-.37,-.37,-.40,-.40,-.33,-.29,-.33,-.32,-.47,-.61,-.34,-.32,-.19,-.38,-.34,-.37
1903,-.24,.11,-.17,-.46,-.43,-.46,-.43,-.55,-.49,-.45,-.40,-.57,-.38,-.38,-.25,-.35,-.48,-.45
