STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,LABOUR_FORCE_STATUS,Labour force status,WORK_PERIOD,Work period,HOURS_TYPE,Hours type,WORKER_STATUS,Worker status,WORK_TIME_ARNGMNT,Working time arrangement,AGGREGATION_OPERATION,Aggregation operation,HOUR_BANDS,Hour bands,JOB_COVERAGE,Job coverage,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_HW@DF_AVG_USL_WK_WKD(1.0),Average usual weekly hours worked on the main job,I,USA,United States,HW,Hours worked,H_WK_PS,Hours per week per person,F,Female,Y15T64,From 15 to 64 years,EMP,Employment,W,Weekly,USUAL,Usual,ICSE93_1,Employees,_T,Total,MEAN,Mean,_Z,Not applicable,MAIN,Main job,2009,,36.147,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_HW@DF_AVG_USL_WK_WKD(1.0),Average usual weekly hours worked on the main job,I,USA,United States,HW,Hours worked,H_WK_PS,Hours per week per person,F,Female,Y15T64,From 15 to 64 years,EMP,Employment,W,Weekly,USUAL,Usual,ICSE93_1,Employees,_T,Total,MEAN,Mean,_Z,Not applicable,MAIN,Main job,2022,,37.168,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_HW@DF_AVG_USL_WK_WKD(1.0),Average usual weekly hours worked on the main job,I,USA,United States,HW,Hours worked,H_WK_PS,Hours per week per person,_T,Total,Y15T64,From 15 to 64 years,EMP,Employment,W,Weekly,USUAL,Usual,ICSE93_1,Employees,_T,Total,MEAN,Mean,_Z,Not applicable,MAIN,Main job,2009,,38.304,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_HW@DF_AVG_USL_WK_WKD(1.0),Average usual weekly hours worked on the main job,I,USA,United States,HW,Hours worked,H_WK_PS,Hours per week per person,_T,Total,Y15T64,From 15 to 64 years,EMP,Employment,W,Weekly,USUAL,Usual,ICSE93_1,Employees,_T,Total,MEAN,Mean,_Z,Not applicable,MAIN,Main job,2022,,38.89,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_HW@DF_AVG_USL_WK_WKD(1.0),Average usual weekly hours worked on the main job,I,USA,United States,HW,Hours worked,H_WK_PS,Hours per week per person,M,Male,Y15T64,From 15 to 64 years,EMP,Employment,W,Weekly,USUAL,Usual,ICSE93_1,Employees,_T,Total,MEAN,Mean,_Z,Not applicable,MAIN,Main job,2009,,40.371,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_HW@DF_AVG_USL_WK_WKD(1.0),Average usual weekly hours worked on the main job,I,USA,United States,HW,Hours worked,H_WK_PS,Hours per week per person,M,Male,Y15T64,From 15 to 64 years,EMP,Employment,W,Weekly,USUAL,Usual,ICSE93_1,Employees,_T,Total,MEAN,Mean,_Z,Not applicable,MAIN,Main job,2022,,40.483,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_HW@DF_AVG_USL_WK_WKD(1.0),Average usual weekly hours worked on the main job,I,DEU,Germany,HW,Hours worked,H_WK_PS,Hours per week per person,_T,Total,Y15T64,From 15 to 64 years,EMP,Employment,W,Weekly,USUAL,Usual,ICSE93_1,Employees,_T,Total,MEAN,Mean,_Z,Not applicable,MAIN,Main job,1983,,38.4554886685926,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_HW@DF_AVG_USL_WK_WKD(1.0),Average usual weekly hours worked on the main job,I,DEU,Germany,HW,Hours worked,H_WK_PS,Hours per week per person,_T,Total,Y15T64,From 15 to 64 years,EMP,Employment,W,Weekly,USUAL,Usual,ICSE93_1,Employees,_T,Total,MEAN,Mean,_Z,Not applicable,MAIN,Main job,1984,,38.6078583678904,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_HW@DF_AVG_USL_WK_WKD(1.0),Average usual weekly hours worked on the main job,I,DEU,Germany,HW,Hours worked,H_WK_PS,Hours per week per person,_T,Total,Y15T64,From 15 to 64 years,EMP,Employment,W,Weekly,USUAL,Usual,ICSE93_1,Employees,_T,Total,MEAN,Mean,_Z,Not applicable,MAIN,Main job,1986,,38.3345045831243,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_HW@DF_AVG_USL_WK_WKD(1.0),Average usual weekly hours worked on the main job,I,DEU,Germany,HW,Hours worked,H_WK_PS,Hours per week per person,_T,Total,Y15T64,From 15 to 64 years,EMP,Employment,W,Weekly,USUAL,Usual,ICSE93_1,Employees,_T,Total,MEAN,Mean,_Z,Not applicable,MAIN,Main job,1987,,38.3048295758815,,A,Normal value,0,Units,1,One
