DATAFLOW,LOCATION,SUBJECT,SEX,FREQUENCY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,UNIT_MULT,BASE_PER
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1962,94.95775,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1962,49.16621,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1962,70.72291,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1961,95.52348,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1961,49.30476,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1961,70.9474,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1963,94.70203,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1963,49.29016,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1963,70.75112,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1960,94.44255,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1960,49.24623,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1960,70.34325,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1964,94.39165,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1964,49.00632,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1964,70.52074,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,2014,84.28887,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,2014,74.00479,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,2014,79.18256,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1965,94.13504,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1965,49.00194,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1965,70.49283,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1966,93.96387,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1966,48.51155,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1966,70.19526,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1967,93.16466,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1967,47.54,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1967,69.24045,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1968,92.95284,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1968,47.68358,A,PC,0,
